track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_acoustic_proba,genre_country_proba,genre_hiphop_proba,genre_pop_proba,genre_rnb_proba,genre_rock_proba
3XyNi4ARXWBgzeDFKoJPqy,Let The Smokers Shine The Coupes,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,6o38CdD7CUlZDCFhjZYLDH,150276,2022-04-22,56,0.687,0.886,1,-4.165,1,0.0724,0.00542,0.774,0.355,0.189,98.918,3,pop,0.292,0.034,0.028,0.244,0.292,0.144,0.258
2DgdHcjWmO3qd50RzuBLgZ,House of Memories,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,6twKQ0EsUJHVlAr6XBylrj,208706,2016-01-15,83,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,5,rock,0.5300333333333334,0.08215714285714286,0.1161095238095238,0.012033333333333333,0.22083333333333335,0.03883333333333333,0.5300333333333334
2gzhQaCTeNgxpeB2TPllyY,With you,1oSPZhvZMIrWW5I41kPkkY,Jimin,3Zu8uym76sjmYEGTFsXnSy,201905,2022-04-24,77,0.532,0.426,3,-6.117,1,0.0288,0.639,0.0,0.134,0.137,149.898,1,country,0.4240714285714286,0.38549047619047616,0.4240714285714286,0.012,0.09062857142857143,0.04666666666666666,0.04114285714285714
7lvDsmTRXFE3dK4OjvRiWB,Pasoori,3bWIy9AUrQdiNeS62Bp3OP,Shae Gill,7wgrW5XyZdtk0K8PkW5A7h,224146,2022-02-07,78,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,0.669,91.991,4,rnb,0.5804467645718617,0.008862484979572217,0.03712599681020734,0.1948282167734567,0.14465463796724953,0.5804467645718617,0.03408189889765232
4IaxDf2FixiQXq0mW7key9,ZOOM,64k5e9kV9MdukXjFrR5R37,Jessi,57dUGxpMd89tEkY3ZVwfKz,174840,2022-04-13,73,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,3,pop,0.657976282051282,0.002,0.0005769230769230769,0.25706840659340663,0.657976282051282,0.08037838827838828,0.002
3RfTeIrWS8LNrfHYwechtt,Sunroof,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,7xb8OvPMTdDSELqdWcddA0,163025,2021-11-26,3,0.768,0.716,10,-5.11,1,0.0404,0.35,0.0,0.15,0.841,131.43,3,pop,0.74256330266794,0.012096738529574349,0.08321092652583914,0.06578301375865171,0.74256330266794,0.07101704352432608,0.025328974993668766
2uky0VCI2EZni0nArOPznM,"Paulo Londra: Bzrp Music Sessions, Vol. 23",716NhGYqD1jl2wI1Qkgq36,Bizarrap,0nLqHiDWHpK33b9lVJMss5,258540,2022-04-25,11,0.456,0.91,0,-2.659,1,0.136,0.256,0.0,0.0921,0.329,95.927,3,pop,0.3472222222222222,0.024,0.10666666666666667,0.11611111111111111,0.3472222222222222,0.128,0.278
75UMtPC77vqKRwfSuYuNPO,San Lucas,6OBGbSaBUvQtk9wpQfDbOE,Kevin Kaarl,5I20nnpF2Jj6GjUFsk9EG1,247196,2019-11-07,79,0.577,0.363,7,-12.378,1,0.0263,0.86,0.000282,0.0868,0.265,91.511,0,acoustic,0.6772766215830622,0.6772766215830622,0.24689436968555614,0.0,0.033633898305084745,0.028195110426296865,0.014
0OTNHGKcqQbk51bOYe462Y,ULTRA SOLO,768O5GliF0bqscyghggrbE,Polimá Westcoast,1HeGenNhHCIMcnFsSlvprd,227220,2022-02-14,78,0.802,0.846,1,-4.495,1,0.207,0.233,1.92e-05,0.114,0.26,109.982,2,hiphop,0.3876,0.036,0.008,0.3876,0.332353488372093,0.196,0.04004651162790698
6Jkm5kUldvIqxzI1Pa7nXH,10 Things I Hate About You,6oWOHAOyBUn6aJlKIPJK9r,Leah Kate,26hYEKjKZU1sTC4mUPpVI6,157138,2022-03-23,75,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,0.446,153.967,3,pop,0.7317060535973752,0.006757345982922873,0.13406697058869552,0.004193813802799682,0.7317060535973752,0.013473891468483119,0.10980192455972378
769Ld8demNhMgVLAQcjTDn,sun and moon,2HPqVfdPh9JkBSlFG5hK6h,anees,4bUd4H9GN11TlKhJDBUGsc,151507,2022-04-06,72,0.815,0.442,6,-7.462,0,0.107,0.457,0.0,0.101,0.706,90.019,4,rnb,0.5390195835910122,0.053515151515151516,0.014,0.321938759018759,0.06042508348794062,0.5390195835910122,0.011101422387136673
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,189893,2022-04-29,86,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,2,hiphop,0.8592000000000001,0.004,0.01,0.8592000000000001,0.0464,0.0664,0.014
3FSwpQ9dBZBeBV6UdYHI2R,712PM,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,173186,2022-04-29,69,0.711,0.686,5,-6.409,0,0.271,0.0355,0.0,0.124,0.536,146.971,2,hiphop,0.9070867494824016,0.0,0.0,0.9070867494824016,0.05916666666666667,0.031746583850931674,0.002
7rWCWzPRftzZTZtIyQtaDU,KEEP IT BURNIN (feat. Kanye West),1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,207213,2022-04-29,60,0.652,0.578,0,-6.187,1,0.161,0.00861,0.0,0.285,0.195,87.395,2,hiphop,0.550719298245614,0.012,0.006,0.550719298245614,0.07805263157894737,0.33922807017543866,0.014
5oH4DQAuu1J1800RzUsBWa,That That (prod. & feat. SUGA of BTS),2dd5mrQZvg6SmahdgVKDzh,PSY,0v4swbfO7N9WyJkUo465C4,174646,2022-04-29,4,0.905,0.962,4,-3.197,1,0.0856,0.0299,0.0,0.0272,0.906,129.969,3,pop,0.848,0.0,0.01,0.078,0.848,0.032,0.032
0AAVJIN4plafvmNKqRCltG,I'M DAT N****,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,271840,2022-04-29,67,0.911,0.573,2,-5.573,1,0.163,0.0112,5.83e-05,0.131,0.145,144.026,2,hiphop,0.7166666666666668,0.002,0.0,0.7166666666666668,0.118,0.14533333333333331,0.018
2KdKh9vHbKW0tZLqtpxxI0,Honest (feat. Don Toliver),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,2luYA3MBCKI7SfK3K0U3xf,193322,2022-04-29,69,0.81,0.655,8,-6.779,0,0.0698,0.127,8.16e-05,0.105,0.809,150.002,4,rnb,0.7398970747585338,0.0,0.002,0.11462633918934581,0.09947658605212033,0.7398970747585338,0.044
6wyhUr4Xw8z5uSy0AhoZfU,I'M ON ONE (feat. Drake),1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,236186,2022-04-29,70,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,2,hiphop,0.7604111405835543,0.002,0.016076923076923075,0.7604111405835543,0.08707427055702918,0.11643766578249336,0.018
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,172933,2022-04-29,81,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,2,hiphop,0.9057838827838828,0.0,0.00021978021978021978,0.9057838827838828,0.0380989010989011,0.055897435897435906,0.0
7HCX1Ch3mklJyEdpwPZBFW,FOR A NUT (feat. Gunna & Young Thug),1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,207933,2022-04-29,58,0.824,0.667,10,-6.603,0,0.0814,0.00321,2.65e-06,0.0956,0.305,82.037,2,hiphop,0.53125,0.008,0.01825,0.53125,0.2165,0.194,0.032
1ei3hzQmrgealgRKFxIcWn,In The Stars,22wbnEMDvgVIAGdFeek6ET,Benson Boone,6dSmXsyGAnFtq048IFhiYd,216410,2022-04-29,83,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,3,pop,0.7230723712561947,0.06106153846153846,0.09062787212787214,0.034320512820512815,0.7230723712561947,0.07430103866721514,0.01661666666666667
4XJRpBOG0bU3Nxnvam3FnC,LOVE YOU BETTER,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,129479,2022-04-29,74,0.709,0.357,5,-9.289,1,0.214,0.478,0.000294,0.112,0.544,75.494,4,rnb,0.656663967611336,0.13628287841191067,0.025806451612903226,0.12215384615384615,0.030874493927125508,0.656663967611336,0.02821836228287841
1Ijpng3ZLhTRcEd8iqh4p4,GOLD STACKS,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,162333,2022-04-29,55,0.763,0.526,5,-6.753,0,0.355,0.00937,2.25e-06,0.111,0.362,181.856,2,hiphop,0.74,0.006,0.0,0.74,0.03,0.218,0.006
2tzgSUZOUKopYbRqQOVT8X,MASSAGING ME,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,106133,2022-04-29,64,0.916,0.453,1,-4.148,1,0.158,0.000189,0.0,0.137,0.152,145.007,2,hiphop,0.61,0.018,0.006,0.61,0.154,0.186,0.026
53wBhj706wDMNuBj4FJ0RI,CHICKENS (feat. EST Gee),1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,195266,2022-04-29,58,0.862,0.619,11,-6.197,0,0.221,0.0403,0.0,0.253,0.624,148.059,2,hiphop,0.8976060606060606,0.002,0.0,0.8976060606060606,0.03625,0.06414393939393939,0.0
2XRn6Qu0Wd1KvOND8JbaTx,Beautiful Girl,3CJKkU0XuElRT1z8rEtIYg,Luciano,2dG0GF5ikINJmc7nTRKSBk,179186,2022-04-28,70,0.839,0.412,11,-8.816,0,0.0935,0.287,0.000796,0.101,0.607,139.901,4,rnb,0.4419707341269841,0.04803125,0.008,0.32334606481481476,0.12451537698412699,0.4419707341269841,0.05413657407407407
39YXI3na4MIpVZhJj3GFi7,VOODOO (feat. Kodak Black),1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,211133,2022-04-29,54,0.499,0.404,1,-9.469,0,0.381,0.0686,1.11e-06,0.125,0.237,77.565,2,hiphop,0.652,0.01,0.002,0.652,0.002,0.322,0.012
2UqL5OiGs3hfY6W8gudKjm,WE JUS WANNA GET HIGH,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,133133,2022-04-29,54,0.827,0.634,10,-5.54,0,0.21,0.00854,0.000109,0.332,0.609,158.98,2,hiphop,0.5155785243741766,0.002,0.002,0.5155785243741766,0.2531,0.19732147562582344,0.03
7EBg0P4VY9IHBF5hq6WQZS,HOLY GHOST,1RyvyyTE3xzB2ZywiAwp0i,Future,6tE9Dnp2zInFij4jKssysL,170266,2022-04-29,57,0.784,0.719,11,-4.56,0,0.31,0.0215,2.27e-05,0.253,0.293,157.997,2,hiphop,0.636,0.0,0.0,0.636,0.166,0.19,0.008
